Sentence,Corrected Sentence,Translation,Student_Emotion,Pipeline_Emotion,Core_Pipeline_Emotion,Corrected_Emotion
GELACH.,GELACH.,LAUGHTER.,happiness,amusement,happiness,happiness
"Ja, dat had sneller en beter moeten.","Ja, dat had sneller en beter moeten.","Yes, that should have been faster and better.",neutral,disappointment,sadness,sadness
"Het is helaas niet gelukt, volgens mijn gevoel was ze er bijna, Rita.","Het is helaas niet gelukt, volgens mijn gevoel was ze er bijna, Rita.","Unfortunately it didn't work out, I think she was almost there, Rita.",sadness,disappointment,sadness,sadness
"En dan heb je een achterstand en ik dacht misschien kan ik nog iets slims doen of iets snels,","En dan heb je een achterstand en ik dacht misschien kan ik nog iets slims doen of iets snels,","And then you have a backlog and I thought maybe I can do something smart or something fast,",neutral,optimism,happiness,happiness
maar dat ging ook gewoon niet lukken.,maar dat ging ook gewoon niet lukken.,but that just didn't work out.,anger,disappointment,sadness,sadness
"Rita, maak je je nu zorgen?","Rita, maak je je nu zorgen?","Rita, are you worried now?",anger,curiosity,neutral,neutral
"Ik was heel gespannen en ik merk dat ik nu zoiets heb van, als het zo is, is het zo.","Ik was heel gespannen en ik merk dat ik nu zoiets heb van, als het zo is, is het zo.","I was very tense and I notice that now I have the feeling that if it is so, it is so.",neutral,nervousness,fear,fear
"Ik denk dat dit een harde expeditie is, dat werd jullie bij de landing wel duidelijk.","Ik denk dat dit een harde expeditie is, dat werd jullie bij de landing wel duidelijk.","I think this is a tough expedition, that became clear to you upon landing.",neutral,realization,surprise,surprise
En dat betekent ook dat er geen verliezerseiland is.,En dat betekent ook dat er geen verliezerseiland is.,And that also means that there is no losers' island.,surprise,realization,surprise,surprise
"Dus degene die hier vanavond wordt weggestemd, gaat ook echt naar huis.","Dus degene die hier vanavond wordt weggestemd, gaat ook echt naar huis.",So whoever gets voted out tonight will actually go home.,surprise,sadness,sadness,sadness
"Dan gaan we beginnen. Bertie, jij mag als eerste gaan stemmen.","Dan gaan we beginnen. Bertie, jij mag als eerste gaan stemmen.","Then we're going to start. Bertie, you're going to be the first to vote.",neutral,nervousness,fear,fear
MUZIEK.,MUZIEK.,MUSIC.,happiness,neutral,neutral,neutral
"Jan, jij mag gaan stemmen.","Jan, jij mag gaan stemmen.","Jan, you can go vote.",neutral,neutral,neutral,neutral
MUZIEK.,MUZIEK.,MUSIC.,happiness,neutral,neutral,neutral
"Sorry Christel, ik moet een keuze maken en je bent een toffe meid,","Sorry Christel, ik moet een keuze maken en je bent een toffe meid,","Sorry Christel, I have to make a choice and you are a cool girl,",neutral,remorse,sadness,sadness
maar misschien had ik met jou een minste contact.,maar misschien had ik met jou een minste contact.,but maybe I had the slightest contact with you.,neutral,disappointment,sadness,sadness
Rita?,Rita?,Rita?,surprise,neutral,neutral,neutral
MUZIEK.,MUZIEK.,MUSIC.,happiness,neutral,neutral,neutral
Christel!,Christel!,Christel!,anger,surprise,surprise,surprise
Sorry.,Sorry.,Sorry.,sadness,remorse,sadness,sadness
Echt? Het gaat ons nu veel te makkelijk.,Echt? Het gaat ons nu veel te makkelijk.,Really? It’s way too easy for us now.,Surprised ,surprise,surprise,surprise
"Ja, want ik zit echt te denken. Wat gaan we dan doen?","Ja, want ik zit echt te denken. Wat gaan we dan doen?","Yes, because I'm really thinking. What are we going to do then?",Fear,confusion,sadness,fear
"Zeggen we nu gewoon oké, we blijven hier?","Zeggen we nu gewoon oké, we blijven hier?","Do we just say okay, we'll stay here?",Neutral,confusion,sadness,sadness
"Nee, maar dan kunnen we misschien kijken of we van iemand ergens een auto kunnen lenen.","Nee, maar dan kunnen we misschien kijken of we van iemand ergens een auto kunnen lenen.","No, but then maybe we can see if we can borrow a car from someone somewhere.",Neutral,optimism,happiness,happiness
Maar als die auto die ons eventueel zou brengen voor pinnen...,Maar als die auto die ons eventueel zou brengen voor pinnen...,But if that car were to possibly take us for debit cards...,Fear,fear,fear,fear
terugleidt hiernaartoe?,terugleidt hiernaartoe?,leads back here?,Surprise ,fear,fear,fear
"Nee, maar dan moeten we dus zorgen dat we...","Nee, maar dan moeten we dus zorgen dat we...","No, but then we have to make sure that we...",Fear,nervousness,fear,fear
Ze kunnen beter een andere auto.,Ze kunnen beter een andere auto.,They would be better off with another car.,Neutral,realization,surprise,neutral
Waar woont u?,Waar woont u?,Where do you live?,Neutral,curiosity,neutral,neutral
Ik woon in Hoogvliet.,Ik woon in Hoogvliet.,I live in Hoogvliet.,Neutral,neutral,neutral,neutral
Mark.,Mark.,Mark.,Neutral,neutral,neutral,neutral
Zou jij voor ons willen pinnen?,Zou jij voor ons willen pinnen?,Would you like to pay by card for us?,Neutral,curiosity,neutral,neutral
Ik zou dat zeker willen doen. Ja hoor.,Ik zou dat zeker willen doen. Ja hoor.,I would certainly like to do that. Sure.,Happy ,approval,happiness,happiness
Jij gaat naar Hoogvliet?,Jij gaat naar Hoogvliet?,Are you going to Hoogvliet?,Neutral,curiosity,neutral,neutral
"Daar woont hij, dan zou ik hem niet terug laten komen hiernaartoe.","Daar woont hij, dan zou ik hem niet terug laten komen hiernaartoe.","That's where he lives, then I wouldn't let him come back here.",Anger,disapproval,disgust,anger
"O, daar gaat zijn kamer.","O, daar gaat z'n camera.","Oh, there goes his camera.",Sadness,surprise,surprise,surprise
"O, ja.","O, ja.","Oh, me.",Neutral,surprise,surprise,surprise
Zijn kamer.,Z'n camera.,Z'n camera.,Neutral,neutral,neutral,neutral
Zijn kamer.,Z'n camera.,Z'n camera.,Neutral,neutral,neutral,neutral
Zijn kamer.,Z'n camera.,Z'n camera.,Neutral,neutral,neutral,neutral
Zijn kamer.,Z'n camera.,Z'n camera.,Neutral,neutral,neutral,neutral
Zijn kamer.,Z'n camera.,Z'n camera.,Neutral,neutral,neutral,neutral
Zijn kamer.,Z'n camera.,Z'n camera.,Neutral,neutral,neutral,neutral
Zijn kamer.,Z'n camera.,Z'n camera.,Neutral,neutral,neutral,neutral
Zijn kamer.,Z'n camera.,Z'n camera.,Neutral,neutral,neutral,neutral
Zijn kamer.,Z'n camera.,Z'n camera.,Neutral,neutral,neutral,neutral
"O, daar gaat zijn kamer. O, ja.","O, daar gaat zijn kamer. O, ja.","Oh, there goes his room. Oh yeah.",Neutral,surprise,surprise,surprise
"Als je wilt, breng ik jou wat uit.","Als je wilt, breng ik jou wat uit.","If you want, I'll bring you something.",Neutral,caring,happiness,neutral
"Ja, dat kan.","Ja, dat kan.","Yes, that's possible.",Neutral,approval,happiness,happiness
Want Kees laat zijn telefoon hier natuurlijk.,Want Kees laat zijn telefoon hier natuurlijk.,"Because Kees leaves his phone here, of course.",Anger,realization,surprise,surprise
"Ja, ja, ja. Ja, precies.","Ja, ja, ja. Ja, precies.","And and and. And, precisely.",Neutral,confusion,sadness,sadness
Kees is nergens geweest straks.,Kees is nergens geweest straks.,Kees hasn't been anywhere later.,Neutral,disappointment,sadness,neutral
Oké. Top.,"Oké, top.","Okay, great.",Happiness ,approval,happiness,happiness
Dit is de route die is gereden.,Dit is de route die is gereden.,This is the route that was driven.,Neutral,neutral,neutral,neutral
"Daarna kunnen ze nog Gouda in, Nieuwegein in...","Daarna kunnen ze nog Gouda in, Nieuwegein in...","After that they can go to Gouda, Nieuwegein...",Neutral,curiosity,neutral,neutral
Eigenlijk overal heen.,Eigenlijk overal heen.,Actually everywhere.,Neutral,neutral,neutral,neutral
Dus het feit dat we daarna geen ANP-risto hebben...,Dus het feit dat we daarna geen ANP-risto hebben...,So the fact that we don't have an ANP risto afterwards...,Anger,disappointment,sadness,anger
zegt alleen maar dat ze ergens in dat gebied zitten.,zegt alleen maar dat ze ergens in dat gebied zitten.,just says they are somewhere in that area.,Neutral,realization,surprise,surprise
Maar dat geeft totaal geen enkele indicatie van de locatie.,Maar dat geeft totaal geen enkele indicatie van de locatie.,But that doesn't give any indication of the location at all.,Sadness,disappointment,sadness,sadness
Nee. Hopelijk is hij daar gedropt misschien.,Nee. Hopelijk is hij daar gedropt misschien.,No. Hopefully he was dropped there maybe.,Neutral,hope,happiness,happiness
Je weet het niet.,Je weet het niet.,You do not know.,Neutral,confusion,sadness,sadness
"HQ, team 2.","HQ, team twee.","HQ, team two.",Neutral,neutral,neutral,neutral
Ik heb nieuwe info ANP-rhistorie.,Ik heb nieuwe info ANP-rhistorie.,I have new information about ANP history.,Neutral,neutral,neutral,neutral
En ik ga een en ander even in Signal zetten.,En ik ga een en ander even in Signal zetten.,And I'm going to put some things into Signal.,Neutral,neutral,neutral,neutral
"Zoekgeschiedenis, safari.","Zoekgeschiedenis, safari.","Search history, safari.",,neutral,neutral,neutral
Gisteren nog gezocht op...,Gisteren nog gezocht op...,Yesterday I searched for...,,curiosity,neutral,neutral
Waar staan overal camera's langs de snelweg?,Waar staan overal camera's langs de snelweg?,Where are cameras everywhere along the highway?,,curiosity,neutral,neutral
"Dus weet je wel, die vent zit er keihard in.","Dus weet je wel, die vent zit er keihard in.","So you know, that guy is in it hard.",,realization,surprise,surprise
"Weet je wel, tot zijn vuist diep.","Weet je wel, tot zijn vuist diep.","You know, fist deep.",,realization,surprise,surprise
"Maar goed, laten we maar het idee hebben dat we...","Maar goed, laten we maar het idee hebben dat we...","Anyway, let's just imagine that we...",,curiosity,neutral,neutral
"Sterk, dat was het doel, hè? Ja.","Sterk, dat was het doel, hè? Ja.","Strong, that was the goal, right? Yes.",,approval,happiness,happiness
Daar zijn ze. Daar zijn ze.,Daar zijn ze. Daar zijn ze.,There they are. There they are.,,excitement,happiness,happiness
In Breda wordt het wachten van Bishan en Shiva beloond.,In Breda wordt het wachten van Bishan en Shiva beloond.,"In Breda, Bishan and Shiva's waiting is rewarded.",,joy,happiness,happiness
Het stel dat beloofde terug te komen staat nu voor ze.,Het stel dat beloofde terug te komen staat nu voor ze.,The couple who promised to return now stands before them.,,joy,happiness,happiness
Ze hebben inderdaad een slaapplek geregeld.,Ze hebben inderdaad een slaapplek geregeld.,They have indeed arranged a place to sleep.,,gratitude,happiness,happiness
"En twee studenten, die ze ieder moment opkomen halen.","En twee studenten, die ze ieder moment opkomen halen.","And two students, who will come and pick them up at any moment.",,anticipation,happiness,happiness
Ik sta nu in het park. Weet me wel te vinden.,Ik sta nu in het park. Weet me wel te vinden.,I'm in the park now. I know where to find me.,,neutral,neutral,neutral
Begin van die steiger. Top.,Begin van die steiger. Top.,Start from that scaffolding. Top.,,neutral,neutral,neutral
"Super, dank je wel. Dank je wel.","Super, dank je wel. Dank je wel.",Amazing thank you. Thank you.,,gratitude,happiness,happiness
Echt top.,Echt top.,Really great.,,joy,happiness,happiness
Team 1 is inmiddels ook in Breda.,Team 1 is inmiddels ook in Breda.,Team 1 is now also in Breda.,,neutral,neutral,neutral
Op het hoofdkwartier weten ze niet beter dan dat Bishan en Shiva...,Op het hoofdkwartier weten ze niet beter dan dat Bishan en Shiva...,At headquarters they know no better than that Bishan and Shiva...,,confusion,sadness,sadness
ruim een uur geleden daar met de trein zijn aangekomen.,ruim een uur geleden daar met de trein zijn aangekomen.,arrived there by train more than an hour ago.,,neutral,neutral,neutral
Michael en Bo proberen nu in kaart te brengen...,Michael en Bo proberen nu in kaart te brengen...,Michael and Bo are now trying to map out...,,curiosity,neutral,neutral
wat de looproute van de jongens is geweest.,wat de looproute van de jongens is geweest.,what the boys' running route was.,,curiosity,neutral,neutral
We staan hier bij het Stadspark.,We staan hier bij het Stadspark.,We are here at the City Park.,,neutral,neutral,neutral
"Op de kruising Willemstraat, Spoorstraat.","Op de kruising Willemstraat, Spoorstraat.","At the intersection Willemstraat, Spoorstraat.",,neutral,neutral,neutral
Daar heb je ook wifi-sensoren staan.,Daar heb je ook wifi-sensoren staan.,You also have WiFi sensors there.,,neutral,neutral,neutral
Dus als daar gebeld is...,Dus als daar gebeld is...,So if there was a call...,,curiosity,neutral,neutral
of als wij op de camera's mensen zien met telefoons...,of als wij op de camera's mensen zien met telefoons...,or when we see people with phones on the cameras...,,curiosity,neutral,neutral
dan zou het zomaar kunnen zijn dat ze daar via een hotspot...,dan zou het zomaar kunnen zijn dat ze daar via een hotspot...,then it could just be that they got there via a hotspot...,,realization,surprise,surprise
of een spot van de wifi zijn opgepakt.,of een spot van de wifi zijn opgepakt.,or a spot from the WiFi has been picked up.,,realization,surprise,surprise
Ik ga jullie even verder helpen. Top.,Ik ga jullie even verder helpen. Top.,I'm going to help you further. Top.,,caring,happiness,happiness
Zorg dat je een beetje een route loopt.,Zorg dat je een beetje een route loopt.,Make sure you walk a route.,,neutral,neutral,neutral
"Wat we ook kunnen doen, als wij een meter of 30 achter jullie lopen...","Wat we ook kunnen doen, als wij een meter of 30 achter jullie lopen...","Whatever we can do, if we walk about 30 meters behind you...",,caring,happiness,happiness
dan bellen we gewoon aan als jullie daar staan.,dan bellen we gewoon aan als jullie daar staan.,then we'll just ring the bell when you're there.,,caring,happiness,happiness
Dan lopen jullie eerst naar binnen.,Dan lopen jullie eerst naar binnen.,Then you walk inside first.,,neutral,neutral,neutral
Dan lopen wij 30 meter achter jullie aan.,Dan lopen wij 30 meter achter jullie aan.,Then we walk 30 meters behind you.,,neutral,neutral,neutral
Lopen wij achter jullie aan? Ja.,Lopen wij achter jullie aan? Ja.,Are we following you? Yes.,,curiosity,neutral,neutral
"Super, bedankt. Loop maar op. We lopen jullie achterna.","Super, bedankt. Loop maar op. We lopen jullie achterna.",Super thanks. Walk on. We're following you.,,gratitude,happiness,happiness
Dank je wel voor het regelen. Tot snel.,Dank je wel voor het regelen. Tot snel.,Thank you for arranging it. See you soon.,,gratitude,happiness,happiness
"Kruising Willemstraat, Spoorstraat.","Kruising Willemstraat, Spoorstraat.","Crossing Willemstraat, Spoorstraat.",,neutral,neutral,neutral
Drie camera's bij de ingang van het park.,Drie camera's bij de ingang van het park.,Three cameras at the entrance to the park.,,neutral,neutral,neutral
Loop maar daarheen. Daar? Ja.,Loop maar daarheen. Daar? Ja.,Just walk over there. Over there? Yes.,,neutral,neutral,neutral
Loop maar hier. Beter hier.,Loop maar hier. Beter hier.,Just walk here. Better here.,,neutral,neutral,neutral
Wij staan nu aan de zijkant van het park.,Wij staan nu aan de zijkant van het park.,We are now on the side of the park.,,neutral,neutral,neutral
Wij gaan een ronde maken.,Wij gaan een ronde maken.,We're going to make a round.,,neutral,neutral,neutral
We moeten zorgen dat we die jacht openen...,We moeten zorgen dat we die jacht openen...,We have to make sure we open that hunt...,,determination,neutral,neutral
"Ah, hier zijn we.","Ah, hier zijn we.","Ah, here we are.",neutral,realization,surprise,neutral
"Ja, je kan maar. Komt-ie.","Ja, je kan maar. Komt-ie.","Yes, you can. Here it comes.",neutral,anticipation,happiness,happiness
"Hallo, welkom.","Hallo, welkom.",Hello welcome.,neutral,joy,happiness,happiness
Dilano. Ja. Stripper.,Dilano. Ja. Stripper.,Dylan. I. A stripper.,neutral,amusement,happiness,neutral
Hoe kom jij aan die naam?,Hoe kom jij aan die naam?,How did you come up with that name?,neutral,curiosity,neutral,neutral
Ja. Lang verhaal kort.,Ja. Lang verhaal kort.,Yes. Long story short.,neutral,neutral,neutral,neutral
Met de Turring jongens zijn we altijd aan het trainen.,Met de turnjongens zijn we altijd aan het trainen.,We are always training with the gymnastics boys.,neutral,neutral,neutral,neutral
En ik doe voor een training altijd meerdere lagen aan.,En ik doe voor een training altijd meerdere lagen aan.,And I always put on several layers before a workout.,neutral,neutral,neutral,neutral
"Ik begin dan met een lange broek, daaronder een korte broek.","Ik begin dan met een lange broek, daaronder een korte broek.","I start with long pants, with shorts underneath.",neutral,neutral,neutral,neutral
"Dan heb ik een hemdje, daarover een trui.","Dan heb ik een hemdje, daarover een trui.",Then I have a shirt and a sweater over that.,neutral,neutral,neutral,neutral
En tijdens de training ga ik langzaam uit.,En tijdens de training ga ik langzaam uit.,And during training I go out slowly.,neutral,neutral,neutral,neutral
Totdat ik alleen maar een korte broek aan heb.,Totdat ik alleen maar een korte broek aan heb.,Until I'm only wearing shorts.,neutral,amusement,happiness,neutral
De stripper. Ja.,De stripper. Ja.,The stripper. Yes.,neutral,amusement,happiness,neutral
"Logisch, hè? Logisch.","Logisch, hè? Logisch.","Logical, right? Logically.",neutral,approval,happiness,neutral
Je zit in een turngroep. Ja.,Je zit in een turngroep. Ja.,You are in a gymnastics group. Yes.,neutral,neutral,neutral,neutral
"Ja, nu wil ik dan toch gelijk even vragen...","Ja, nu wil ik dan toch gelijk even vragen...","Yes, now I would like to ask...",neutral,curiosity,neutral,neutral
kun jij nu hier iets doen?,kun jij nu hier iets doen?,can you do something here now?,neutral,curiosity,neutral,neutral
Flipjack. Flipjack.,Flipjack. Flipjack.,Flipjack. Flipjack.,neutral,neutral,neutral,neutral
Kun jij flipjack? Ik weet niet of de mic en zo blijft zitten.,Kun jij flipjack? Ik weet niet of de mic en zo blijft zitten.,Can you flipjack? I don't know if the mic and stuff will stay put.,neutral,confusion,sadness,neutral
"Blijft dit staan? Nee, ik houd het wel vast.","Blijft dit staan? Nee, ik houd het wel vast.","Is this going to stay up? No, I'll hold on to it.",neutral,confusion,sadness,neutral
Oké.,Oké.,Okay.,neutral,neutral,neutral,neutral
"Een beetje hier staan, hè?","Een beetje hier staan, hè?","Standing here a bit, huh?",neutral,amusement,happiness,neutral
Het gaat van je winnaarsgeld af als we er nu vanaf gaan.,Het gaat van je winnaarsgeld af als we er nu afvallen.,It will be taken from your winnings money if we drop out now.,neutral,disapproval,disgust,anger
"Ja, daarom. Dat wil ik niet.","Ja, daarom. Dat wil ik niet hebben.",Yes that's why. I don't want that.,neutral,disapproval,disgust,anger
Komt-ie.,Komt-ie.,Is he coming?,neutral,curiosity,neutral,neutral
Vet.,Vet.,Vet.,neutral,neutral,neutral,neutral
"O, leuk. Ja, ik kan het niet, hoor.","O, leuk. Ja, ik kan het niet, hoor.","Oh nice. Yeah, I can't do it.",neutral,disappointment,sadness,neutral
"Nee, ik ook niet. Nee?","Nee, ik ook niet. Nee?","No, me neither. No?",neutral,disappointment,sadness,neutral
Heb je een tactiek voor in het huis?,Heb je een tactiek voor in het huis?,Do you have a tactic for the house?,neutral,curiosity,neutral,neutral
Ik denk dat ik gewoon mezelf ga proberen te zijn.,Ik denk dat ik gewoon mezelf ga proberen te zijn.,I guess I'll just try to be myself.,neutral,optimism,happiness,neutral
"Plezier maken, alles eruit halen wat erin zit.","Plezier maken, alles eruit halen wat erin zit.","Have fun, get the most out of it.",happiness,optimism,happiness,happiness
Dan komt het goed.,Dan komt het goed.,It will be fine.,neutral,optimism,happiness,happiness
"Ja, het gaat bijna beginnen, Milano. Ik heb er zin in.","Ja, het gaat bijna beginnen, Milano. Ik heb er zin in.","Yes, it's about to start, Milano. I'm excited.",happiness,excitement,happiness,happiness
Allereerst wil ik heel graag je telefoon hebben.,Allereerst wil ik heel graag je telefoon hebben.,"First of all, I really want your phone.",neutral,desire,happiness,neutral
Want je bent natuurlijk in het huis helemaal afgesloten...,Want je bent natuurlijk in het huis helemaal afgesloten...,Because you are of course completely closed off in the house...,neutral,realization,surprise,neutral
van de buitenwereld.,van de buitenwereld.,from the outside world.,neutral,realization,surprise,neutral
Dus die leveren we in.,Dus die leveren we in.,So we hand that in.,neutral,neutral,neutral,neutral
We hebben al een aantal bewoners het huis ingestuurd.,We hebben al een aantal bewoners het huis ingestuurd.,We have already sent a number of residents into the house.,neutral,neutral,neutral,neutral
Dat ging allemaal via die draaideur.,Dat ging allemaal via die draaideur.,It all went through that revolving door.,neutral,neutral,neutral,neutral
Maar Big Brother heeft iets anders voor jou in petto.,Maar Big Brother heeft iets anders voor jou in petto.,But Big Brother has something else in store for you.,neutral,curiosity,neutral,neutral
Oké.,Oké.,Okay.,neutral,neutral,neutral,neutral
Jij mag namelijk door een speciale spiegeldeur.,Jij mag namelijk door een speciale spiegeldeur.,You can go through a special mirror door.,neutral,surprise,surprise,neutral
"Speciale deur, een speciale rol.","Speciale deur, een speciale rol.","Special door, a special role.",neutral,surprise,surprise,happiness
Jullie mogen die kant op alvast.,Jullie mogen die kant op alvast.,You can go that way already.,neutral,neutral,neutral,neutral
"Had jij extra info, Selma?","Had jij extra info, Selmar?","Did you have extra information, Selmar?",neutral,curiosity,neutral,neutral
Ik heb de route nu. Dit is de route die is gereden.,Ik heb de route nu. Dit is de route die is gereden.,I have the route now. This is the route that was driven.,neutral,neutral,neutral,neutral
Oké.,Oké.,Okay.,neutral,neutral,neutral,neutral
"Ja, Selma heeft de route gedeeld in Signal...","Ja, Selma heeft de route gedeeld in Signal...","Yes, Selma shared the route in Signal...",neutral,neutral,neutral,neutral
die gereden is door die oplegger.,die gereden is door die oplegger.,that was driven by that semi-trailer.,neutral,neutral,neutral,neutral
Rij dezelfde route. Hopelijk is die container daar gedropt.,Rij dezelfde route. Hopelijk is die container daar gedropt.,Drive the same route. Hopefully that container was dropped there.,neutral,hope,happiness,neutral
Laatste positie is dus het opgegeven adres.,Laatste positie is dus het opgegeven adres.,The last position is therefore the specified address.,neutral,realization,surprise,neutral
"Ja, is begrepen voor team 2.","Ja, is begrepen voor team 2.","Yes, it is understood for team 2.",neutral,approval,happiness,neutral
15 minuten zijn we te plaatsen. Team 2.,15 minuten zijn we te plaatsen. Team 2.,We can be placed within 15 minutes. Team 2.,neutral,neutral,neutral,neutral
Waar blijft die man?,Waar blijft die man?,Where is that man?,neutral,curiosity,neutral,anger
Aikun en Rajiv wachten in de Rotterdamse Veerhaven ongeduldig...,Aikun en Rajiv wachten in de Rotterdamse Veerhaven ongeduldig...,Aikun and Rajiv wait impatiently in the Rotterdam Veerhaven...,neutral,nervousness,fear,neutral
totdat Rajiv's vader ze komt oppikken.,totdat Rajiv's vader ze komt oppikken.,until Rajiv's father comes to pick them up.,neutral,anticipation,happiness,neutral
Ze zijn nog heel dicht bij de startlocatie.,Ze zijn nog heel dicht bij de startlocatie.,They are still very close to the starting location.,neutral,neutral,neutral,neutral
En daarmee nemen ze best een risico.,En daarmee nemen ze best een risico.,And in doing so they are taking quite a risk.,neutral,fear,fear,fear
"O, nee. Daar is hij.","O, nee. Daar is hij.",Oh no. There he is.,neutral,surprise,surprise,surprise
"O, nee. Wat doe je hier?","O, nee. Wat doe je hier?",Oh no. What are you doing here?,surprise,surprise,surprise,surprise
Hoe kom jij nou hier? Hoe kom jij hier?,Hoe kom jij nou hier? Hoe kom jij hier?,How did you get here? How did you get here?,surprise,surprise,surprise,surprise
Wat doe je? Snel? Ik moest drie keer knippen.,Wat doe je? Snel? Ik moest drie keer knippen.,What are you doing? Fast? I had to cut three times.,surprise,annoyance,anger,anger
O.,O.,O.,neutral,confusion,sadness,surprise
O. Ja.,O. Ja.,A. Me.,neutral,neutral,neutral,neutral
Als politieman. Klein stukje binnen.,Als politieman. Klein stukje binnen.,As a police officer. Small piece inside.,neutral,neutral,neutral,neutral
"Ik rijd gewoon eventjes. Ja, is goed.","Ik rijd gewoon eventjes. Ja, is goed.",I'm just driving for a while. Yes that's OK.,neutral,neutral,neutral,neutral
Raar. Dit ging echt... Dit is moeilijker dan verwacht.,Raar. Dit ging echt... Dit is moeilijker dan verwacht.,Weird. This really went... This is harder than expected.,sadness,disappointment,sadness,sadness
...ziek slecht.,...ziek slecht.,...sick bad.,sadness,disgust,disgust,anger
Eigenlijk hetgeen waarvan we hadden gezegd...,Eigenlijk hetgeen waarvan we hadden gezegd...,Actually what we said...,neutral,neutral,neutral,neutral
"we gaan niet naar bekenden toe, niet vanaf de start.","we gaan niet naar bekenden toe, niet vanaf de start.","we don't go to people we know, not from the start.",neutral,disappointment,sadness,anger
Gaat gelijk mis.,Gaat gelijk mis.,Immediately goes wrong.,neutral,disappointment,sadness,sadness
"Wat een beetje stress met je doet, hè.","Wat een beetje stress met je doet, hè.","What a little stress does to you, right?",neutral,realization,surprise,happiness
Met rustie. Ja.,Met rustie. Ja.,With peace. Yes.,neutral,relief,happiness,neutral
We hebben een ANPR-hit. ANPR-hit.,We hebben een ANPR-hit. ANPR-hit.,We have an ANPR hit. ANPR hit.,neutral,excitement,happiness,neutral
Op de vader van Rajiv John.,Op de vader van Rajiv John.,To Rajiv John's father.,neutral,neutral,neutral,neutral
Vreelustweg in Rotterdam.,Vreelustweg in Rotterdam.,Vreelustweg in Rotterdam.,neutral,neutral,neutral,neutral
Bij deze ANPR-hit gaan alle alarmbellen af.,Bij deze ANPR-hit gaan alle alarmbellen af.,This ANPR hit sets off all the alarm bells.,neutral,nervousness,fear,fear
Een familielid van voortvluchtigen die in de stad rijdt...,Een familielid van voortvluchtigen die in de stad rijdt...,A relative of fugitives driving around town...,neutral,curiosity,neutral,neutral
waar ze even daarvoor op de vlucht zijn geslagen?,waar ze even daarvoor op de vlucht zijn geslagen?,where they fled moments before?,neutral,confusion,sadness,neutral
Dat is meer dan verdacht.,Dat is meer dan verdacht.,That is more than suspicious.,neutral,realization,surprise,sadness
De kans dat hij ze heeft opgehaald...,De kans dat hij ze heeft opgehaald...,The chances that he picked them up...,neutral,curiosity,neutral,neutral
Zou kunnen. Bewegend in? Zuidelijke? Zuidelijke richting.,Zou kunnen. Bewegend in? Zuidelijke? Zuidelijke richting.,Could be. Moving in? Southern? Southern direction.,neutral,confusion,sadness,neutral
Waar is zijn telefoon geweest?,Waar is zijn telefoon geweest?,Where has his phone been?,neutral,curiosity,neutral,neutral
"Zodat als er gebeld wordt, dat we alles meekrijgen.","Zodat als er gebeld wordt, dat we alles meekrijgen.","So that when we call, we get everything.",neutral,optimism,happiness,neutral
"Hey, Rajiv. Ja.","Hey, Rajiv. Ja.","Hi, Rajiv. Yes.",neutral,neutral,neutral,neutral
Als je iemand kent met een busje...,Als je iemand kent met een busje...,If you know someone with a van...,neutral,curiosity,neutral,neutral
Maar niet bellen.,Maar niet bellen.,But don't call.,neutral,disapproval,disgust,neutral
Lekker Niels!,Lekker Niels!,Nice Niels!,neutral,approval,happiness,happiness
"Ja, vakjes! Bam!","Ja, vakjes! Bam!","Yeah, boxes! Bam!",happiness,excitement,happiness,happiness
Dinnertime!,Dinnertime!,Dinnertime!,neutral,joy,happiness,happiness
Laten we dit ook gewoon warm houden tot vanavond.,Laten we dit ook gewoon warm houden tot vanavond.,Let's just keep this warm until tonight.,neutral,optimism,happiness,neutral
Het mag niet meer uit.,Het mag niet meer uit.,It can't go off anymore.,neutral,relief,happiness,neutral
Het is het olympisch vuur.,Het is het olympisch vuur.,It's the Olympic fire.,neutral,admiration,happiness,happiness
GEROEZEMOES.,GEROEZEMOES.,BUZZ.,neutral,neutral,neutral,neutral
We gaan Niels een hut bouwen om dat vuurkamp heen.,We gaan Niels een hut bouwen om dat vuurkamp heen.,We are going to build Niels a hut around that fire camp.,neutral,optimism,happiness,happiness
"Ga jij maar even blazen en doen en wij gaan ondertussen een hut eromheen bouwen,","Ga jij maar even blazen en doen en wij gaan ondertussen een hut eromheen bouwen,","You go ahead and blow and do something while we build a hut around it,",neutral,approval,happiness,happiness
want met die regen is het niet te doen.,want met die regen is het niet te doen.,because with that rain it is impossible.,neutral,disappointment,sadness,sadness
Hoe vervuurt het zo?,Hoe vervuurt het zo?,How does it get so hot?,surprise,curiosity,neutral,neutral
We zetten de touw aan elkaar en dan zetten we hem op als stiefeling.,We zetten de touw aan elkaar en dan zetten we hem op als stiefeling.,We put the rope together and then we set him up as a stepling.,neutral,neutral,neutral,neutral
We gaan nou jongens.,We gaan nou jongens.,Let's go now guys.,neutral,excitement,happiness,neutral
MUZIEK.,MUZIEK.,MUSIC.,neutral,neutral,neutral,neutral
Heel snel is er een oplossing en wordt er een soort wichtboom gecreëerd boven het vuur.,Heel snel is er een oplossing en wordt er een soort wichtboom gecreëerd boven het vuur.,Very quickly a solution is found and a kind of weight tree is created above the fire.,neutral,relief,happiness,neutral
